"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortMerge","BRANCH","3","13","0.0","2337","87","100","97","88","17","63","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:107 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:84 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18:19 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:352 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18:19 |","true","false","1387639","26.67827"
"2","locogp.SortMerge","BRANCH","2","13","0.0","2337","87","78","88","81","11","49","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:101 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18:19 |","true","true","1690385","20.3463"
"3","locogp.SortMerge","BRANCH","1","13","0.0","2337","87","72","85","81","6","94","|","false","true","0","0.0"
"4","locogp.SortMerge","BRANCH","1","13","0.0","2337","87","72","85","81","6","41","|","false","true","0","0.0"
"5","locogp.SortMerge","BRANCH","2","9","0.0","2387","7","100","97","93","11","36","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","3934292","12.775671"
"6","locogp.SortMerge","BRANCH","1","9","0.0","2387","7","6","3","0","6","79","|","false","true","0","0.0"
"7","locogp.SortMerge","BRANCH","1","9","0.0","2387","7","6","3","0","6","76","|","false","true","0","0.0"
"8","locogp.SortMerge","BRANCH","1","9","0.0","2387","7","6","3","0","6","1","|","false","true","0","0.0"
"9","locogp.SortMerge","LINE","4","15","0.0","2536","85","100","100","92","11","14","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 |","true","false","2488624","-66.060234"
"10","locogp.SortMerge","LINE","3","15","0.0","2536","85","100","97","92","11","15","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:95 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","53107114","68.62135"
"11","locogp.SortMerge","LINE","2","15","0.0","2536","85","94","94","92","6","41","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 |","true","true","113143325","34.492252"
"12","locogp.SortMerge","LINE","1","15","0.0","2536","85","78","88","86","6","7","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 |","true","true","183227385","25.333548"
"13","locogp.SortMerge","LINE","3","17","0.0","2458","36","100","100","95","17","79","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:84 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","64968327","85.49483"
"14","locogp.SortMerge","LINE","2","17","0.0","2458","36","94","94","95","11","76","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 |","true","true","62242103","66.4952"
"15","locogp.SortMerge","LINE","1","17","0.0","2458","36","6","3","0","6","1","|","false","true","0","0.0"
"16","locogp.SortMerge","LINE","1","17","0.0","2458","36","6","3","0","6","85","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:113 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","62964718","65.18468"
"17","locogp.SortMerge","WEAKMUTATION","3","19","6.5","6619","14","94","94","97","17","15","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 |","true","true","61349888","66.30879"
"18","locogp.SortMerge","WEAKMUTATION","2","19","6.5","6619","14","78","88","86","17","41","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","1438684","98.82477"
"19","locogp.SortMerge","WEAKMUTATION","1","19","6.5","6619","14","78","88","85","6","7","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","63851520","64.78209"
"20","locogp.SortMerge","WEAKMUTATION","1","19","6.5","6619","14","78","88","85","6","36","|","false","true","0","0.0"
"21","locogp.SortMerge","WEAKMUTATION","2","14","6.5","6453","79","94","94","97","17","76","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:229 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","123227118","32.2292"
"22","locogp.SortMerge","WEAKMUTATION","1","14","6.5","6453","79","11","30","22","11","1","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:215 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 |","true","true","62255428","65.53709"
"23","locogp.SortMerge","WEAKMUTATION","1","14","6.5","6453","79","11","30","22","11","85","|","false","true","0","0.0"
"24","locogp.SortMerge","WEAKMUTATION","1","14","6.5","6453","79","11","30","22","11","14","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 |","true","true","1609915","99.2757"
"25","locogp.SortMerge","CBRANCH","6","18","0.5","6224","15","94","91","87","94","41","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 |","true","false","86979672","53.22877"
"26","locogp.SortMerge","CBRANCH","4","18","0.5","6224","15","67","82","64","56","7","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 |","true","true","1521881","99.17666"
"27","locogp.SortMerge","CBRANCH","2","18","0.5","6224","15","56","76","64","44","36","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:19 |","true","true","67868558","63.700397"
"28","locogp.SortMerge","CBRANCH","1","18","0.5","6224","15","39","45","28","39","79","|","false","true","0","0.0"
"29","locogp.SortMerge","CBRANCH","6","16","0.5","5669","76","94","94","88","94","1","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","188584071","0.11375642"
"30","locogp.SortMerge","CBRANCH","4","16","0.5","5669","76","83","91","85","78","85","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:27 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","1438423","97.67125"
"31","locogp.SortMerge","CBRANCH","2","16","0.5","5669","76","22","58","44","11","14","|","false","true","0","0.0"
"32","locogp.SortMerge","CBRANCH","1","16","0.5","5669","76","17","55","44","6","15","|","false","true","0","0.0"
"33","locogp.SortMerge","MANUAL","","0","0","0",,"94","97","96","6",,"| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortMerge.java:352 -> ../examples/locoGP/src/main/java/locogp/SortMerge.java:18 |","true","true","88652643","-41.6209"
