"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubble","BRANCH","3","11","0.0","2321","63","100","100","96","100","49","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:51 <-> ../examples/locoGP/src/main/java/locogp/SortBubble.java:76 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:90 |","true","false","2226543","-130.04526"
"2","locogp.SortBubble","BRANCH","2","11","0.0","2321","63","57","50","21","57","94","|","false","true","0","0.0"
"3","locogp.SortBubble","BRANCH","1","11","0.0","2321","63","43","38","21","43","41","|","false","true","0","0.0"
"4","locogp.SortBubble","BRANCH","1","11","0.0","2321","63","43","38","21","43","7","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:33 |","true","true","744530","74.90741"
"5","locogp.SortBubble","BRANCH","4","16","0.0","2553","36","100","100","90","100","79","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:19 |","true","false","42550321","-5871.251"
"6","locogp.SortBubble","BRANCH","3","16","0.0","2553","36","86","100","89","86","76","|","false","true","0","0.0"
"7","locogp.SortBubble","BRANCH","2","16","0.0","2553","36","57","50","21","57","1","|","false","true","0","0.0"
"8","locogp.SortBubble","BRANCH","1","16","0.0","2553","36","14","12","0","14","85","|","false","true","0","0.0"
"9","locogp.SortBubble","LINE","3","12","0.0","2457","14","100","100","96","100","15","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:65 |","true","true","4965511","20.221624"
"10","locogp.SortBubble","LINE","2","12","0.0","2457","14","86","88","96","86","41","|","false","true","0","0.0"
"11","locogp.SortBubble","LINE","1","12","0.0","2457","14","57","75","93","57","7","|","false","true","0","0.0"
"12","locogp.SortBubble","LINE","1","12","0.0","2457","14","57","75","93","57","36","|","false","true","0","0.0"
"13","locogp.SortBubble","LINE","3","14","0.0","2752","79","100","100","96","100","76","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:76 <-> ../examples/locoGP/src/main/java/locogp/SortBubble.java:76 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:66 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:66 |","true","true","57161016","81.10126"
"14","locogp.SortBubble","LINE","2","14","0.0","2752","79","71","88","93","71","1","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:101 <-> ../examples/locoGP/src/main/java/locogp/SortBubble.java:101 |","true","true","1646090","99.32224"
"15","locogp.SortBubble","LINE","1","14","0.0","2752","79","57","75","93","57","85","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:33 |","true","true","58236066","75.726494"
"16","locogp.SortBubble","LINE","1","14","0.0","2752","79","57","75","93","57","14","|","false","true","0","0.0"
"17","locogp.SortBubble","WEAKMUTATION","3","12","0.5","5308","15","86","88","99","86","41","|","false","true","0","0.0"
"18","locogp.SortBubble","WEAKMUTATION","2","12","0.5","5308","15","86","88","97","86","7","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:76 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:76 |","true","true","1447762","99.1931"
"19","locogp.SortBubble","WEAKMUTATION","1","12","0.5","5308","15","43","38","21","43","36","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:19 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:50 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:33 |","true","false","118625553","-6.832225"
"20","locogp.SortBubble","WEAKMUTATION","1","12","0.5","5308","15","43","38","21","43","79","|","false","true","0","0.0"
"21","locogp.SortBubble","WEAKMUTATION","5","29","0.5","5767","76","86","88","99","86","1","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:90 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:19 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:90 <-> ../examples/locoGP/src/main/java/locogp/SortBubble.java:18 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:66 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:33:33 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:34 <-> ../examples/locoGP/src/main/java/locogp/SortBubble.java:18 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:51 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:66 |","true","false","117842056","28.634819"
"22","locogp.SortBubble","WEAKMUTATION","4","29","0.5","5767","76","86","88","92","86","85","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:66 <-> ../examples/locoGP/src/main/java/locogp/SortBubble.java:66 |","true","true","62424687","46.72883"
"23","locogp.SortBubble","WEAKMUTATION","3","29","0.5","5767","76","71","50","48","71","14","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:34 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:33 |","true","true","1665363","98.61075"
"24","locogp.SortBubble","WEAKMUTATION","2","29","0.5","5767","76","43","38","23","43","15","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:66 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:18 |","true","true","1695367","98.83253"
"25","locogp.SortBubble","CBRANCH","3","10","0.0","2451","41","86","62","46","86","7","|","false","true","0","0.0"
"26","locogp.SortBubble","CBRANCH","2","10","0.0","2451","41","71","50","46","71","36","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:90 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:65:90 |","true","true","65735664","53.70248"
"27","locogp.SortBubble","CBRANCH","1","10","0.0","2451","41","43","38","44","43","79","|","false","true","0","0.0"
"28","locogp.SortBubble","CBRANCH","1","10","0.0","2451","41","43","38","44","43","76","|","false","true","0","0.0"
"29","locogp.SortBubble","CBRANCH","4","16","0.0","2518","1","100","100","90","100","85","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:90 <-> ../examples/locoGP/src/main/java/locogp/SortBubble.java:18 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:51 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:51 |","true","true","1495806","99.00258"
"30","locogp.SortBubble","CBRANCH","3","16","0.0","2518","1","86","100","89","86","14","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:90 <-> ../examples/locoGP/src/main/java/locogp/SortBubble.java:18 |","true","true","1755122","97.313484"
"31","locogp.SortBubble","CBRANCH","2","16","0.0","2518","1","57","88","86","57","15","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:50 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:51 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:51 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:50 |","true","true","57962822","4.4906764"
"32","locogp.SortBubble","CBRANCH","1","16","0.0","2518","1","14","12","0","14","41","|","false","true","0","0.0"
"33","locogp.SortBubble","MANUAL","","0","0","0",,"86","88","97","86",,"| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:34 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:33 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:101 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:33:33 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubble.java:90 -> ../examples/locoGP/src/main/java/locogp/SortBubble.java:65 |","true","true","1552671","9.6989975"
