"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubbleLoops","BRANCH","4","15","0.0","2533","73","100","100","91","100","25","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:19 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:33 <-> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:32 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:47 -> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:19 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:79 <-> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:115 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:90 -> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:47:47 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:32 -> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:65 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:48 -> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:47:47 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:79 <-> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:47 |","true","false","1256031","36.795033"
"2","locogp.SortBubbleLoops","BRANCH","3","15","0.0","2533","73","89","67","52","89","81","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:33 -> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:18:18 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:64 <-> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:79 |","true","true","1398632","-89.9734"
"3","locogp.SortBubbleLoops","BRANCH","2","15","0.0","2533","73","78","56","52","78","11","|","false","true","0","0.0"
"4","locogp.SortBubbleLoops","BRANCH","1","15","0.0","2533","73","56","44","29","56","38","|","false","true","0","0.0"
"5","locogp.SortBubbleLoops","BRANCH","3","12","0.0","2360","28","100","100","96","100","57","|","false","true","0","0.0"
"6","locogp.SortBubbleLoops","BRANCH","2","12","0.0","2360","28","67","89","91","67","98","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:64 <-> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:65 |","true","true","724836","60.54232"
"7","locogp.SortBubbleLoops","BRANCH","1","12","0.0","2360","28","56","78","91","56","61","|","false","true","0","0.0"
"8","locogp.SortBubbleLoops","BRANCH","1","12","0.0","2360","28","56","78","91","56","0","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:32 <-> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:33 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:90 -> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:47:47 |","true","true","1144063","56.906055"
"9","locogp.SortBubbleLoops","LINE","3","16","0.0","2432","60","100","100","96","100","75","|","false","true","0","0.0"
"10","locogp.SortBubbleLoops","LINE","2","16","0.0","2432","60","67","56","29","67","74","|","false","true","0","0.0"
"11","locogp.SortBubbleLoops","LINE","1","16","0.0","2432","60","56","44","29","56","48","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:79 -> ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:79 |","true","true","109560512","4.3833637"
"12","locogp.SortBubbleLoops","LINE","1","16","0.0","2432","60","56","44","29","56","68","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:32 |","true","true","1595796","99.104935"
"13","locogp.SortBubbleLoops","LINE","3","9","0.0","2759","97","78","100","88","78","38","|","false","true","0","0.0"
"14","locogp.SortBubbleLoops","LINE","2","9","0.0","2759","97","56","89","86","56","28","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:79 |","true","true","65273157","76.68356"
"15","locogp.SortBubbleLoops","LINE","1","9","0.0","2759","97","11","11","0","11","57","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortBubbleLoops.java:79 |","true","true","65516078","69.58215"
