"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortRadix","BRANCH","3","10","0.0","2504","59","100","100","90","100","47","|","false","true","0","0.0"
"2","locogp.SortRadix","BRANCH","2","10","0.0","2504","59","93","93","90","93","58","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:60 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:101 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:119 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:38 |","true","false","3069324","-202.99832"
"3","locogp.SortRadix","BRANCH","1","10","0.0","2504","59","73","93","87","73","22","|","false","true","0","0.0"
"4","locogp.SortRadix","BRANCH","1","10","0.0","2504","59","73","93","87","73","2","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:134 <-> ../examples/locoGP/src/main/java/locogp/SortRadix.java:18 |","true","true","2592483","26.532417"
"5","locogp.SortRadix","BRANCH","3","11","0.0","2355","8","100","100","90","100","64","|","false","true","0","0.0"
"6","locogp.SortRadix","BRANCH","2","11","0.0","2355","8","93","93","90","93","95","|","false","true","0","0.0"
"7","locogp.SortRadix","BRANCH","1","11","0.0","2355","8","87","93","90","87","67","|","false","true","0","0.0"
"8","locogp.SortRadix","BRANCH","1","11","0.0","2355","8","87","93","90","87","69","|","false","true","0","0.0"
"9","locogp.SortRadix","LINE","2","5","0.0","3226","22","93","100","86","93","2","|","false","true","0","0.0"
"10","locogp.SortRadix","LINE","1","5","0.0","3226","22","7","7","0","7","8","|","false","true","0","0.0"
"11","locogp.SortRadix","LINE","1","5","0.0","3226","22","7","7","0","7","64","|","false","true","0","0.0"
"12","locogp.SortRadix","LINE","1","5","0.0","3226","22","7","7","0","7","95","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:74 -> ../examples/locoGP/src/main/java/locogp/SortRadix.java:74:74 |","true","false","110711138","32.001534"
"13","locogp.SortRadix","LINE","2","5","0.0","2625","67","93","100","90","93","69","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:90 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:74 |","true","false","169938967","27.6714"
"14","locogp.SortRadix","LINE","1","5","0.0","2625","67","7","7","0","7","22","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:119 -> ../examples/locoGP/src/main/java/locogp/SortRadix.java:101:102 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:114 -> ../examples/locoGP/src/main/java/locogp/SortRadix.java:167 |","true","false","123255775","58.89137"
"15","locogp.SortRadix","LINE","1","5","0.0","2625","67","7","7","0","7","2","|","false","true","0","0.0"
"16","locogp.SortRadix","LINE","1","5","0.0","2625","67","7","7","0","7","8","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:151 |","true","true","61377098","75.343864"
"17","locogp.SortRadix","WEAKMUTATION","6","34","1.5","9183","64","93","93","98","93","95","|","false","true","0","0.0"
"18","locogp.SortRadix","WEAKMUTATION","4","34","1.5","9183","64","87","93","94","87","67","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:118 -> ../examples/locoGP/src/main/java/locogp/SortRadix.java:101:101 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:38 |","true","true","60364489","49.862694"
"19","locogp.SortRadix","WEAKMUTATION","2","34","1.5","9183","64","47","64","61","47","69","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:90 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:90 -> ../examples/locoGP/src/main/java/locogp/SortRadix.java:19 |","true","false","117063718","33.117172"
"20","locogp.SortRadix","WEAKMUTATION","1","34","1.5","9183","64","47","64","59","47","22","|","false","true","0","0.0"
"21","locogp.SortRadix","WEAKMUTATION","4","22","1.5","8440","2","87","93","98","87","8","|","false","true","0","0.0"
"22","locogp.SortRadix","WEAKMUTATION","3","22","1.5","8440","2","87","93","97","87","64","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:38 |","true","true","1714600","97.290016"
"23","locogp.SortRadix","WEAKMUTATION","2","22","1.5","8440","2","87","93","94","87","95","|","false","true","0","0.0"
"24","locogp.SortRadix","WEAKMUTATION","1","22","1.5","8440","2","47","64","60","47","67","|","false","true","0","0.0"
"25","locogp.SortRadix","CBRANCH","3","10","0.0","3399","69","100","100","90","100","22","|","false","true","0","0.0"
"26","locogp.SortRadix","CBRANCH","2","10","0.0","3399","69","93","100","86","93","2","|","false","true","0","0.0"
"27","locogp.SortRadix","CBRANCH","1","10","0.0","3399","69","87","93","86","87","8","|","false","true","0","0.0"
"28","locogp.SortRadix","CBRANCH","1","10","0.0","3399","69","87","93","86","87","64","|","false","true","0","0.0"
"29","locogp.SortRadix","CBRANCH","2","8","0.0","3461","95","100","100","97","100","67","|","false","true","0","0.0"
"30","locogp.SortRadix","CBRANCH","1","8","0.0","3461","95","93","93","97","93","69","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortRadix.java:152 <-> ../examples/locoGP/src/main/java/locogp/SortRadix.java:152 |","true","true","1746213","98.65801"
"31","locogp.SortRadix","CBRANCH","1","8","0.0","3461","95","93","93","97","93","22","|","false","true","0","0.0"
"32","locogp.SortRadix","CBRANCH","1","8","0.0","3461","95","93","93","97","93","2","|","false","true","0","0.0"
"33","locogp.SortRadix","MANUAL","","0","0","0",,"93","93","97","93",,"|","false","true","0","0.0"
