"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortSelection2","BRANCH","2","12","0.0","3230","75","100","100","96","100","74","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:84 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:71 |","true","false","2193141","-136.96141"
"2","locogp.SortSelection2","BRANCH","1","12","0.0","3230","75","14","9","0","14","48","|","false","true","0","0.0"
"3","locogp.SortSelection2","BRANCH","1","12","0.0","3230","75","14","9","0","14","68","|","false","true","0","0.0"
"4","locogp.SortSelection2","BRANCH","1","12","0.0","3230","75","14","9","0","14","97","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:99 -> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:47:99 |","true","true","949135","43.83238"
"5","locogp.SortSelection2","BRANCH","3","18","0.0","2519","38","100","100","87","100","28","|","false","true","0","0.0"
"6","locogp.SortSelection2","BRANCH","2","18","0.0","2519","38","71","64","64","71","57","|","false","true","0","0.0"
"7","locogp.SortSelection2","BRANCH","1","18","0.0","2519","38","57","55","64","57","98","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:48 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:48 |","true","true","1756052","50.08508"
"8","locogp.SortSelection2","BRANCH","1","18","0.0","2519","38","57","55","64","57","61","|","false","true","0","0.0"
"9","locogp.SortSelection2","LINE","2","11","0.0","2851","0","100","100","95","100","60","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:19 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:25 |","true","true","1083294","60.255314"
"10","locogp.SortSelection2","LINE","1","11","0.0","2851","0","14","9","0","14","75","|","false","true","0","0.0"
"11","locogp.SortSelection2","LINE","1","11","0.0","2851","0","14","9","0","14","74","|","false","true","0","0.0"
"12","locogp.SortSelection2","LINE","1","11","0.0","2851","0","14","9","0","14","48","|","false","true","0","0.0"
