"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortSelection2","BRANCH","3","19","0.0","2982","29","100","100","89","100","83","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:90 |","true","false","2272102","-149.8882"
"2","locogp.SortSelection2","BRANCH","2","19","0.0","2982","29","86","91","89","86","60","|","false","true","0","0.0"
"3","locogp.SortSelection2","BRANCH","1","19","0.0","2982","29","71","91","81","71","75","|","false","true","0","0.0"
"4","locogp.SortSelection2","BRANCH","1","19","0.0","2982","29","71","91","81","71","74","|","false","true","0","0.0"
"5","locogp.SortSelection2","BRANCH","3","16","0.0","3115","48","100","100","88","100","68","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:31 |","true","false","2173363","-206.83275"
"6","locogp.SortSelection2","BRANCH","2","16","0.0","3115","48","86","91","88","86","97","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:84 |","true","true","3691478","14.046267"
"7","locogp.SortSelection2","BRANCH","1","16","0.0","3115","48","57","55","64","57","38","|","false","true","0","0.0"
"8","locogp.SortSelection2","BRANCH","1","16","0.0","3115","48","57","55","64","57","28","|","false","true","0","0.0"
"9","locogp.SortSelection2","LINE","2","6","0.0","2435","57","86","100","79","86","98","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:84 |","true","true","1697101","33.512543"
"10","locogp.SortSelection2","LINE","1","6","0.0","2435","57","71","91","79","71","61","|","false","true","0","0.0"
"11","locogp.SortSelection2","LINE","1","6","0.0","2435","57","71","91","79","71","0","|","false","true","0","0.0"
"12","locogp.SortSelection2","LINE","1","6","0.0","2435","57","71","91","79","71","60","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:122 -> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:111 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:31 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:18 -> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:31 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:99 |","true","false","167731168","-31.920683"
"13","locogp.SortSelection2","LINE","2","8","0.0","2562","75","86","100","80","86","74","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:72 -> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:71 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:84 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:54 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:18 -> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:71:71 |","true","true","1583038","99.17531"
"14","locogp.SortSelection2","LINE","1","8","0.0","2562","75","14","9","0","14","48","|","false","true","0","0.0"
"15","locogp.SortSelection2","LINE","1","8","0.0","2562","75","14","9","0","14","68","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:111 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:18 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:18 |","true","true","190209616","21.908417"
"16","locogp.SortSelection2","LINE","1","8","0.0","2562","75","14","9","0","14","97","|","false","true","0","0.0"
"17","locogp.SortSelection2","WEAKMUTATION","2","14","1.0","5089","38","86","91","97","86","28","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:71 |","true","true","62609044","73.665306"
"18","locogp.SortSelection2","WEAKMUTATION","1","14","1.0","5089","38","14","36","17","14","57","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:54 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:54 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:54 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:90 |","true","true","59511491","54.934685"
"19","locogp.SortSelection2","WEAKMUTATION","1","14","1.0","5089","38","14","36","17","14","98","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:122 -> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:47 |","true","false","119824118","55.539177"
"20","locogp.SortSelection2","WEAKMUTATION","1","14","1.0","5089","38","14","36","17","14","61","|","false","true","0","0.0"
"21","locogp.SortSelection2","WEAKMUTATION","2","14","1.0","5618","0","86","91","97","86","60","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortSelection2.java:72 <-> ../examples/locoGP/src/main/java/locogp/SortSelection2.java:84 |","true","false","117502290","1.9136451"
"22","locogp.SortSelection2","WEAKMUTATION","1","14","1.0","5618","0","86","91","96","86","75","|","false","true","0","0.0"
