"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","63","|","false","true","0","0.0"
"2","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","63","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:356 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:323:333 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:356 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:173 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:355 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:91 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:356 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:354 |","true","false","10953230","8.94904"
"3","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","94","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:324 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:333 |","true","false","13712989","30.933317"
"4","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","83","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:274 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:92 |","true","true","4562040","70.114174"
"5","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","66","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:92 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:113:113 |","true","true","7618540","25.885233"
"6","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","34","|","false","true","0","0.0"
"7","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","7","|","false","true","0","0.0"
"8","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","70","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:256 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172:172 | gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:333 |","true","false","3864271","73.525734"
"9","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","56","| gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:274 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:120:120 |","true","true","7441370","41.495495"
"10","locogp.SortHeap","BRANCH","2","11","0.0","12082","99","100","100","False","53","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:98 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:113 |","true","false","11983660","0.28167397"
