"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup","intermediate"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","|","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","false","-","-","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","false","-","-","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","false","-","-","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","false","-","--","true"
"1","locogp.SortBubble","BRANCH","3","14","0.0","11940","56","100","False","25","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","-","--","true"
