"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","69","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:163 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:129 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:151 |","true","false","18910200","21.053488"
"2","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","75","|","false","true","0","0.0"
"3","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","22","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:141 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172 |","true","false","9629450","70.47225"
"4","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","69","| gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:174 <-> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:129 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:142 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:221 |","true","false","6856900","77.45494"
"5","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","76","|","false","true","0","0.0"
"6","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","93","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:163 |","true","false","6273730","69.88202"
"7","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","65","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:113 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:355 |","true","true","35389770","-75.333855"
"8","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","76","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:295 |","true","true","5719260","72.3667"
"9","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","82","|","false","true","0","0.0"
"10","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","19","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:302 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:172 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:85 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:354 |","true","true","10456270","-38.80029"
"11","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","57","|","false","true","0","0.0"
"12","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","36","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:280 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:303 | gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:248 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:163 |","true","false","15226540","-100.584366"
"13","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","96","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:113 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:333 |","true","false","10891940","26.606205"
"14","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","28","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:98 -> ..\examples\locoGP\src\main\java\locogp\SortHeap.java:311 |","true","false","19935380","39.731403"
"15","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","90","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:273 |","true","true","19468200","38.698124"
"16","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","10","|","false","true","0","0.0"
"17","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","68","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortHeap.java:210 |","true","false","7584370","65.624466"
"18","locogp.SortHeap","BRANCH","4","28","0.0","22077","95","100","100","False","70","|","false","true","0","0.0"
