"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup","intermediate"
"1","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","28","| gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:76 |","true","false","-","-","true"
"1","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","28","|","false","true","0","0.0","false"
"2","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","7","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","false","-","-","true"
"2","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","7","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:66 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 |","true","false","-","-","true"
"2","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","7","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:66 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 | gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:65 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:65:76 |","true","false","-","-","true"
"2","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","7","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:66 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 | gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:65 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:65:76 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:34 |","true","false","-","-","true"
"2","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","7","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:66 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:34 |","true","false","-","-","true"
"2","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","7","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:34 |","true","false","-","-","true"
"2","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","7","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:34 | gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","false","-","-","true"
"2","locogp.SortBubble","BRANCH","3","10","0.0","16845","11","100","100","96","100","False","7","| gin.edit.statement.ReplaceStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.SwapStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:34 | gin.edit.statement.DeleteStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.CopyStatement ..\examples\locoGP\src\main\java\locogp\SortBubble.java:18 -> ..\examples\locoGP\src\main\java\locogp\SortBubble.java:33:33 |","true","false","-","-","true"
