"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubble","WEAKMUTATION","5","28","0.5","15633","47","99","86","88","86","58","|","false","true","0","0.0"
"2","locogp.SortBubble","WEAKMUTATION","4","28","0.5","15633","47","97","86","88","86","22","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","1273040","58.43433"
"3","locogp.SortBubble","WEAKMUTATION","3","28","0.5","15633","47","48","71","50","71","2","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:18 |","true","true","1413510","76.87604"
"4","locogp.SortBubble","WEAKMUTATION","2","28","0.5","15633","47","45","43","38","43","8","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 -> examples\locoGP\src\main\java\locogp\SortBubble.java:19 |","true","true","1950460","59.01482"
"5","locogp.SortBubble","WEAKMUTATION","5","20","0.5","17542","64","92","86","88","86","95","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 -> examples\locoGP\src\main\java\locogp\SortBubble.java:76 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:34 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","3783580","95.87175"
"6","locogp.SortBubble","WEAKMUTATION","4","20","0.5","17542","64","90","71","88","71","67","|","false","true","0","0.0"
"7","locogp.SortBubble","WEAKMUTATION","3","20","0.5","17542","64","89","71","88","71","69","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","3030290","20.412817"
"8","locogp.SortBubble","WEAKMUTATION","2","20","0.5","17542","64","89","71","88","71","22","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:66 |","true","true","3975770","6.101622"
"9","locogp.SortBubble","BRANCH","3","12","0.0","7983","2","97","100","100","100","8","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:34 -> examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65:65 |","true","true","2753640","55.831165"
"10","locogp.SortBubble","BRANCH","2","12","0.0","7983","2","94","71","88","71","64","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","123050900","58.950336"
