"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubble","WEAKMUTATION","3","13","0.5","16917","43","96","100","100","100",,"| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:50 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:34 -> examples\locoGP\src\main\java\locogp\SortBubble.java:33:33 |","true","true","2898750","87.90825"
"1","locogp.SortBubble","WEAKMUTATION","2","13","0.5","16917","43","23","43","38","43",,"|","false","true","0","0.0"
"1","locogp.SortBubble","WEAKMUTATION","1","13","0.5","16917","43","7","14","25","14",,"| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:34 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","3153910","59.575886"
"1","locogp.SortBubble","WEAKMUTATION","1","13","0.5","16917","43","7","14","25","14",,"| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","20643790","84.0712"
"5","locogp.SortBubble","WEAKMUTATION","4","20","0.5","21095","56","99","86","88","86",,"| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:34 -> examples\locoGP\src\main\java\locogp\SortBubble.java:18:18 |","true","true","2564050","96.8767"
"5","locogp.SortBubble","WEAKMUTATION","3","20","0.5","21095","56","97","86","88","86",,"|","false","true","0","0.0"
"5","locogp.SortBubble","WEAKMUTATION","2","20","0.5","21095","56","23","43","38","43",,"| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","2957190","50.266064"
"5","locogp.SortBubble","WEAKMUTATION","1","20","0.5","21095","56","7","14","25","14",,"|","false","true","0","0.0"
"9","locogp.SortBubble","BRANCH","3","13","0.0","12192","73","99","86","88","86",,"|","false","true","0","0.0"
"9","locogp.SortBubble","BRANCH","2","13","0.0","12192","73","93","71","88","71",,"| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:90 -> examples\locoGP\src\main\java\locogp\SortBubble.java:90 |","true","true","181821560","4.443818"
