"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubble","WEAKMUTATION","3","14","0.5","16166","73","96","100","100","100","25","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:50 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:66 |","true","true","3245100","33.08037"
"2","locogp.SortBubble","WEAKMUTATION","2","14","0.5","16166","73","96","71","88","71","81","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","3849010","47.0722"
"3","locogp.SortBubble","WEAKMUTATION","1","14","0.5","16166","73","7","14","25","14","11","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 -> examples\locoGP\src\main\java\locogp\SortBubble.java:19 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","1772810","76.58674"
"4","locogp.SortBubble","WEAKMUTATION","1","14","0.5","16166","73","7","14","25","14","38","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 -> examples\locoGP\src\main\java\locogp\SortBubble.java:18:18 |","true","true","9947190","32.50083"
"5","locogp.SortBubble","WEAKMUTATION","4","19","0.5","26574","28","99","86","88","86","57","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50:51 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","3189900","97.260704"
"6","locogp.SortBubble","WEAKMUTATION","3","19","0.5","26574","28","96","71","88","71","98","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","40400990","31.82434"
"7","locogp.SortBubble","WEAKMUTATION","2","19","0.5","26574","28","94","71","88","71","61","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50:51 |","true","true","16985970","46.79209"
"8","locogp.SortBubble","WEAKMUTATION","1","19","0.5","26574","28","93","57","75","57","0","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50:50 |","true","true","4802490","23.708483"
"9","locogp.SortBubble","BRANCH","3","12","0.0","11945","60","99","86","88","86","75","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","197556710","45.521843"
"10","locogp.SortBubble","BRANCH","2","12","0.0","11945","60","80","71","88","71","74","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","159405130","22.740742"
"11","locogp.SortBubble","BRANCH","1","12","0.0","11945","60","0","14","12","14","48","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> examples\locoGP\src\main\java\locogp\SortBubble.java:101 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","248194300","39.40456"
"12","locogp.SortBubble","BRANCH","1","12","0.0","11945","60","0","14","12","14","68","|","false","true","0","0.0"
"13","locogp.SortBubble","BRANCH","4","16","0.0","11787","97","83","100","100","100","38","|","false","true","0","0.0"
"14","locogp.SortBubble","BRANCH","3","16","0.0","11787","97","89","86","100","86","28","|","false","true","0","0.0"
"15","locogp.SortBubble","BRANCH","2","16","0.0","11787","97","89","71","88","71","57","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","3129530","99.32372"
"16","locogp.SortBubble","BRANCH","1","16","0.0","11787","97","21","43","38","43","98","|","false","true","0","0.0"
"17","locogp.SortBubble","LINE","3","11","0.0","8780","61","90","100","100","100","0","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> examples\locoGP\src\main\java\locogp\SortBubble.java:18 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 -> examples\locoGP\src\main\java\locogp\SortBubble.java:18:19 |","true","true","143595880","51.895737"
"18","locogp.SortBubble","LINE","2","11","0.0","8780","61","7","29","38","29","60","|","false","true","0","0.0"
"19","locogp.SortBubble","LINE","1","11","0.0","8780","61","7","14","25","14","75","|","false","true","0","0.0"
"20","locogp.SortBubble","LINE","1","11","0.0","8780","61","7","14","25","14","74","|","false","true","0","0.0"
"21","locogp.SortBubble","LINE","3","10","0.0","9509","48","80","71","100","71","68","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","125531690","56.228245"
"22","locogp.SortBubble","LINE","2","10","0.0","9509","48","96","86","88","86","97","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:101 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:101 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:101 |","true","true","125896160","-5248.521"
"23","locogp.SortBubble","LINE","1","10","0.0","9509","48","93","57","75","57","38","|","false","true","0","0.0"
"24","locogp.SortBubble","LINE","1","10","0.0","9509","48","93","57","75","57","28","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 -> examples\locoGP\src\main\java\locogp\SortBubble.java:34 |","true","true","136530730","54.19991"
"25","locogp.SortBubble","CBRANCH","3","12","0.0","10679","57","96","100","100","100","98","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:34 -> examples\locoGP\src\main\java\locogp\SortBubble.java:33:33 |","true","true","2423010","99.073395"
"26","locogp.SortBubble","CBRANCH","2","12","0.0","10679","57","93","71","88","71","61","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:90 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:76 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","false","2967980","98.857056"
"27","locogp.SortBubble","CBRANCH","1","12","0.0","10679","57","0","14","12","14","0","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","127395000","6.0265527"
"28","locogp.SortBubble","CBRANCH","1","12","0.0","10679","57","0","14","12","14","60","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","148864470","61.1382"
"29","locogp.SortBubble","CBRANCH","3","12","0.0","9009","75","96","100","100","100","74","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","131506350","47.99404"
