"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","CBRANCH_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubble","WEAKMUTATION","3","19","0.5","13905","18","99","86","88","86","0","|","false","true","0","0.0"
"1","locogp.SortBubble","WEAKMUTATION","2","19","0.5","13905","18","97","86","88","86","0","| gin.edit.line.SwapLine examples\locoGP\src\main\java\locogp\SortBubble.java:10 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:12 |","true","true","3610920","62.615234"
"1","locogp.SortBubble","WEAKMUTATION","1","19","0.5","13905","18","94","57","75","57","0","| gin.edit.line.CopyLine examples\locoGP\src\main\java\locogp\SortBubble.java:7 -> examples\locoGP\src\main\java\locogp\SortBubble.java:10 |","true","true","4202950","87.57929"
"1","locogp.SortBubble","WEAKMUTATION","1","19","0.5","13905","18","94","57","75","57","0","|","false","true","0","0.0"
"2","locogp.SortBubble","WEAKMUTATION","4","19","0.5","16374","4","99","86","88","86","62","|","false","true","0","0.0"
"2","locogp.SortBubble","WEAKMUTATION","3","19","0.5","16374","4","96","71","88","71","62","|","false","true","0","0.0"
"2","locogp.SortBubble","WEAKMUTATION","2","19","0.5","16374","4","45","57","50","57","62","| gin.edit.line.SwapLine examples\locoGP\src\main\java\locogp\SortBubble.java:11 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:11 |","true","true","2945350","54.393284"
"2","locogp.SortBubble","WEAKMUTATION","1","19","0.5","16374","4","44","43","38","43","62","| gin.edit.line.ReplaceLine examples\locoGP\src\main\java\locogp\SortBubble.java:10 -> examples\locoGP\src\main\java\locogp\SortBubble.java:11 |","true","true","3558740","64.33363"
"3","locogp.SortBubble","WEAKMUTATION","3","16","0.5","14865","52","99","86","88","86","71","|","false","true","0","0.0"
"3","locogp.SortBubble","WEAKMUTATION","2","16","0.5","14865","52","23","43","38","43","71","| gin.edit.line.DeleteLine examples\locoGP\src\main\java\locogp\SortBubble.java:8 |","true","false","1832110","63.253586"
"3","locogp.SortBubble","WEAKMUTATION","1","16","0.5","14865","52","7","14","25","14","71","|","false","true","0","0.0"
"3","locogp.SortBubble","WEAKMUTATION","1","16","0.5","14865","52","7","14","25","14","71","|","false","true","0","0.0"
"4","locogp.SortBubble","BRANCH","3","13","0.0","7766","19","99","86","88","86","25","|","false","true","0","0.0"
"4","locogp.SortBubble","BRANCH","2","13","0.0","7766","19","97","86","88","86","25","| gin.edit.line.SwapLine examples\locoGP\src\main\java\locogp\SortBubble.java:5 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:5 |","true","true","4396940","53.25418"
"4","locogp.SortBubble","BRANCH","1","13","0.0","7766","19","21","43","38","43","25","|","false","true","0","0.0"
"4","locogp.SortBubble","BRANCH","1","13","0.0","7766","19","21","43","38","43","25","|","false","true","0","0.0"
