"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","EXCEPTION_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"6","locogp.SortBubble","BRANCH","2","14","0.0","7541","56","97","86","88","100","73","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 -> examples\locoGP\src\main\java\locogp\SortBubble.java:76 |","true","true","9633960","54.359962"
"6","locogp.SortBubble","BRANCH","1","14","0.0","7541","56","28","57","50","100","73","|","false","true","0","0.0"
"6","locogp.SortBubble","BRANCH","1","14","0.0","7541","56","28","57","50","100","73","|","false","true","0","0.0"
"7","locogp.SortBubble","LINE","3","12","0.0","7856","23","97","100","100","100","27","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:101 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65:90 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:51 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:19 |","true","false","11051080","20.677242"
"7","locogp.SortBubble","LINE","2","12","0.0","7856","23","93","71","88","100","27","|","false","true","0","0.0"
"7","locogp.SortBubble","LINE","1","12","0.0","7856","23","93","57","75","100","27","|","false","true","0","0.0"
"7","locogp.SortBubble","LINE","1","12","0.0","7856","23","93","57","75","100","27","|","false","true","0","0.0"
"8","locogp.SortBubble","LINE","3","10","0.0","7821","48","94","86","100","100","68","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 -> examples\locoGP\src\main\java\locogp\SortBubble.java:101 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","3049960","51.098927"
"8","locogp.SortBubble","LINE","2","10","0.0","7821","48","96","86","88","100","68","|","false","true","0","0.0"
"8","locogp.SortBubble","LINE","1","10","0.0","7821","48","93","57","75","100","68","|","false","true","0","0.0"
