"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","EXCEPTION_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortBubble","WEAKMUTATION","4","18","0.5","16586","8","99","86","88","100","64","|","false","true","0","0.0"
"1","locogp.SortBubble","WEAKMUTATION","3","18","0.5","16586","8","97","86","88","100","64","| gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:76 |","true","true","1842270","12.386337"
"1","locogp.SortBubble","WEAKMUTATION","2","18","0.5","16586","8","94","71","88","100","64","| gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50:51 |","true","true","2659610","46.798542"
"1","locogp.SortBubble","WEAKMUTATION","1","18","0.5","16586","8","7","14","25","100","64","|","false","true","0","0.0"
"2","locogp.SortBubble","WEAKMUTATION","4","20","0.5","16362","56","99","86","88","100","73","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 |","true","true","2713660","-35.13503"
"2","locogp.SortBubble","WEAKMUTATION","3","20","0.5","16362","56","96","71","88","100","73","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","false","2229400","19.700327"
"2","locogp.SortBubble","WEAKMUTATION","2","20","0.5","16362","56","94","71","88","100","73","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","1671190","53.85964"
"2","locogp.SortBubble","WEAKMUTATION","1","20","0.5","16362","56","7","14","25","100","73","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","1779190","65.57075"
"3","locogp.SortBubble","WEAKMUTATION","4","18","0.5","14020","23","99","86","88","100","27","|","false","true","0","0.0"
"3","locogp.SortBubble","WEAKMUTATION","3","18","0.5","14020","23","96","71","88","100","27","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 |","true","false","7130920","-143.0236"
"3","locogp.SortBubble","WEAKMUTATION","2","18","0.5","14020","23","94","57","75","100","27","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 -> examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:51 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50:51 |","true","false","8615590","-51.100338"
