"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","WEAKMUTATION_Coverage","BRANCH_Coverage","LINE_Coverage","EXCEPTION_Coverage","gin_seed","patch","validpatch","success","avgtime","speedup"
"3","locogp.SortBubble","WEAKMUTATION","1","18","0.5","14020","23","93","57","75","100","27","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65:65 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 |","true","false","2701250","45.652065"
"4","locogp.SortBubble","BRANCH","3","10","0.0","10291","48","99","86","88","100","68","|","false","true","0","0.0"
"4","locogp.SortBubble","BRANCH","2","10","0.0","10291","48","96","86","88","100","68","|","false","true","0","0.0"
"4","locogp.SortBubble","BRANCH","1","10","0.0","10291","48","21","43","38","100","68","|","false","true","0","0.0"
"4","locogp.SortBubble","BRANCH","1","10","0.0","10291","48","21","43","38","100","68","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","2359670","95.922554"
"5","locogp.SortBubble","BRANCH","3","11","0.0","7321","16","96","100","100","100","51","|","false","true","0","0.0"
"5","locogp.SortBubble","BRANCH","2","11","0.0","7321","16","93","71","88","100","51","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:50 -> examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","2854940","25.005384"
"5","locogp.SortBubble","BRANCH","1","11","0.0","7321","16","93","57","75","100","51","|","false","true","0","0.0"
"5","locogp.SortBubble","BRANCH","1","11","0.0","7321","16","93","57","75","100","51","|","false","true","0","0.0"
"6","locogp.SortBubble","BRANCH","4","15","0.0","10556","32","96","100","100","100","77","|","false","true","0","0.0"
"6","locogp.SortBubble","BRANCH","3","15","0.0","10556","32","46","86","62","100","77","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:18 |","true","true","2486390","16.361452"
"6","locogp.SortBubble","BRANCH","2","15","0.0","10556","32","21","57","50","100","77","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 |","true","false","3354360","9.851085"
"6","locogp.SortBubble","BRANCH","1","15","0.0","10556","32","21","43","38","100","77","|","false","true","0","0.0"
"7","locogp.SortBubble","LINE","3","12","0.0","7774","31","90","100","100","100","32","|","false","true","0","0.0"
"7","locogp.SortBubble","LINE","2","12","0.0","7774","31","94","71","88","100","32","|","false","true","0","0.0"
"7","locogp.SortBubble","LINE","1","12","0.0","7774","31","7","14","25","100","32","|","false","true","0","0.0"
"7","locogp.SortBubble","LINE","1","12","0.0","7774","31","7","14","25","100","32","|","false","true","0","0.0"
"8","locogp.SortBubble","LINE","3","14","0.0","7260","56","94","86","100","100","73","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:19 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:65 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:65 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 -> examples\locoGP\src\main\java\locogp\SortBubble.java:18:19 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:65 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:18 | gin.edit.statement.CopyStatement examples\locoGP\src\main\java\locogp\SortBubble.java:18 -> examples\locoGP\src\main\java\locogp\SortBubble.java:33:34 |","true","false","2994720","49.486126"
"8","locogp.SortBubble","LINE","2","14","0.0","7260","56","97","86","88","100","73","|","false","true","0","0.0"
"8","locogp.SortBubble","LINE","1","14","0.0","7260","56","28","57","50","100","73","|","false","true","0","0.0"
"8","locogp.SortBubble","LINE","1","14","0.0","7260","56","28","57","50","100","73","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 -> examples\locoGP\src\main\java\locogp\SortBubble.java:50 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:51 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","true","164879310","37.807888"
"9","locogp.SortBubble","LINE","3","12","0.0","8759","23","97","100","100","100","27","| gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 -> examples\locoGP\src\main\java\locogp\SortBubble.java:90 | gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 | gin.edit.statement.SwapStatement examples\locoGP\src\main\java\locogp\SortBubble.java:66 <-> examples\locoGP\src\main\java\locogp\SortBubble.java:65 |","true","false","168220240","4.453217"
"9","locogp.SortBubble","LINE","2","12","0.0","8759","23","93","71","88","100","27","|","false","true","0","0.0"
"9","locogp.SortBubble","LINE","1","12","0.0","8759","23","93","57","75","100","27","|","false","true","0","0.0"
"9","locogp.SortBubble","LINE","1","12","0.0","8759","23","93","57","75","100","27","|","false","true","0","0.0"
"10","locogp.SortBubble","EXCEPTION","2","4","0.3333333333333333","6659","48","94","86","100","100","68","|","false","true","0","0.0"
"10","locogp.SortBubble","EXCEPTION","1","4","0.3333333333333333","6659","48","6","0","12","100","68","|","false","true","0","0.0"
"10","locogp.SortBubble","EXCEPTION","1","4","0.3333333333333333","6659","48","6","0","12","100","68","|","false","true","0","0.0"
"10","locogp.SortBubble","EXCEPTION","1","4","0.3333333333333333","6659","48","6","0","12","100","68","|","false","true","0","0.0"
"11","locogp.SortBubble","EXCEPTION","2","9","0.3333333333333333","6897","16","25","29","38","100","51","|","false","true","0","0.0"
"11","locogp.SortBubble","EXCEPTION","1","9","0.3333333333333333","6897","16","44","43","38","100","51","|","false","true","0","0.0"
"11","locogp.SortBubble","EXCEPTION","1","9","0.3333333333333333","6897","16","44","43","38","100","51","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 | gin.edit.statement.ReplaceStatement examples\locoGP\src\main\java\locogp\SortBubble.java:76 -> examples\locoGP\src\main\java\locogp\SortBubble.java:19 |","true","false","182884540","41.528008"
"11","locogp.SortBubble","EXCEPTION","1","9","0.3333333333333333","6897","16","44","43","38","100","51","| gin.edit.statement.DeleteStatement examples\locoGP\src\main\java\locogp\SortBubble.java:33 |","true","true","186135910","3.6488605"
"12","locogp.SortBubble","EXCEPTION","2","9","0.3333333333333333","7371","32","44","43","38","100","77","|","false","true","0","0.0"
"12","locogp.SortBubble","EXCEPTION","1","9","0.3333333333333333","7371","32","44","43","38","100","77","|","false","true","0","0.0"
"12","locogp.SortBubble","EXCEPTION","1","9","0.3333333333333333","7371","32","44","43","38","100","77","|","false","true","0","0.0"
"12","locogp.SortBubble","EXCEPTION","1","9","0.3333333333333333","7371","32","44","43","38","100","77","|","false","true","0","0.0"
"49","locogp.SortBubble","MANUAL","","0","0","0",,"97","86","88","100",,"|","false","true","0","0.0"
