"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","77","|","false","true","0","0.0"
"2","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","31","|","false","true","0","0.0"
"3","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","85","|","false","true","0","0.0"
"4","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","41","|","false","true","0","0.0"
"5","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","39","|","false","true","0","0.0"
"6","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","22","|","false","true","0","0.0"
"7","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","0","|","false","true","0","0.0"
"8","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","91","|","false","true","0","0.0"
"9","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","56","|","false","true","0","0.0"
"10","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","34","|","false","true","0","0.0"
"11","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","37","|","false","true","0","0.0"
"12","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","80","|","false","true","0","0.0"
"13","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","6","|","false","true","0","0.0"
"14","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","46","|","false","true","0","0.0"
"15","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","76","|","false","true","0","0.0"
"16","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","48","|","false","true","0","0.0"
"17","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","6","|","false","true","0","0.0"
"18","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","92","|","false","true","0","0.0"
"19","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","11","|","false","true","0","0.0"
"20","locogp.SortSelection","BRANCH","2","12","0.0","2553","31","100","100","89","100","False","44","|","false","true","0","0.0"
"21","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","34","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortSelection.java:126 -> ../examples/locoGP/src/main/java/locogp/SortSelection.java:86 |","true","false","1432736","93.58045"
"22","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","60","|","false","true","0","0.0"
"23","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","10","|","false","true","0","0.0"
"24","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","81","|","false","true","0","0.0"
"25","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","28","|","false","true","0","0.0"
"26","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","2","|","false","true","0","0.0"
"27","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","49","|","false","true","0","0.0"
"28","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","64","|","false","true","0","0.0"
"29","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","59","|","false","true","0","0.0"
"30","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","61","|","false","true","0","0.0"
"31","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","85","|","false","true","0","0.0"
"32","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","82","|","false","true","0","0.0"
"33","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","77","|","false","true","0","0.0"
"34","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","14","|","false","true","0","0.0"
"35","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","81","|","false","true","0","0.0"
"36","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","6","|","false","true","0","0.0"
"37","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","76","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortSelection.java:126 -> ../examples/locoGP/src/main/java/locogp/SortSelection.java:18 |","true","true","2556893","21.601042"
"38","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","37","|","false","true","0","0.0"
"39","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","86","|","false","true","0","0.0"
"40","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","99","|","false","true","0","0.0"
"41","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","38","|","false","true","0","0.0"
"42","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","68","|","false","true","0","0.0"
"43","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","11","|","false","true","0","0.0"
"44","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","55","|","false","true","0","0.0"
"45","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","33","|","false","true","0","0.0"
"46","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","7","|","false","true","0","0.0"
"47","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","40","|","false","true","0","0.0"
"48","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","33","|","false","true","0","0.0"
"49","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","93","|","false","true","0","0.0"
"50","locogp.SortSelection","BRANCH","1","12","0.0","2553","31","14","8","0","14","True","7","|","false","true","0","0.0"
