"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","6","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:303 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:281 |","true","false","1171508","11.050645"
"2","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","68","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:248 |","true","false","1296836","4.153281"
"3","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","65","|","false","true","0","0.0"
"4","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","4","|","false","true","0","0.0"
"5","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","36","|","false","true","0","0.0"
"6","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","98","|","false","true","0","0.0"
"7","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","86","|","false","true","0","0.0"
"8","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","82","|","false","true","0","0.0"
"9","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","56","|","false","true","0","0.0"
"10","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","47","|","false","true","0","0.0"
"11","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","31","|","false","true","0","0.0"
"12","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","4","|","false","true","0","0.0"
"13","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","3","|","false","true","0","0.0"
"14","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","16","|","false","true","0","0.0"
"15","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","47","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:141 |","true","true","678009","53.63313"
"16","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","60","|","false","true","0","0.0"
"17","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","34","|","false","true","0","0.0"
"18","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","46","|","false","true","0","0.0"
"19","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","9","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:324 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:345 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:24 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:355 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:120:121 |","true","false","1233807","-97.53932"
"20","locogp.SortHeap","BRANCH","5","30","0.0","4331","27","95","97","92","95","False","3","|","false","true","0","0.0"
"21","locogp.SortHeap","BRANCH","4","30","0.0","4331","27","90","94","92","90","True","41","|","false","true","0","0.0"
"22","locogp.SortHeap","BRANCH","4","30","0.0","4331","27","90","94","92","90","True","83","|","false","true","0","0.0"
"23","locogp.SortHeap","BRANCH","4","30","0.0","4331","27","90","94","92","90","True","29","|","false","true","0","0.0"
"24","locogp.SortHeap","BRANCH","4","30","0.0","4331","27","90","94","92","90","True","92","|","false","true","0","0.0"
"25","locogp.SortHeap","BRANCH","4","30","0.0","4331","27","90","94","92","90","True","84","|","false","true","0","0.0"
