"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","44","|","false","true","0","0.0"
"2","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","87","|","false","true","0","0.0"
"3","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","3","|","false","true","0","0.0"
"4","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","3","|","false","true","0","0.0"
"5","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","36","|","false","true","0","0.0"
"6","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","41","|","false","true","0","0.0"
"7","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","74","|","false","true","0","0.0"
"8","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","79","|","false","true","0","0.0"
"9","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","22","|","false","true","0","0.0"
"10","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","26","|","false","true","0","0.0"
"11","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","17","|","false","true","0","0.0"
"12","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","92","|","false","true","0","0.0"
"13","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","52","|","false","true","0","0.0"
"14","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","28","|","false","true","0","0.0"
"15","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","23","|","false","true","0","0.0"
"16","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","72","|","false","true","0","0.0"
"17","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","60","|","false","true","0","0.0"
"18","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","84","|","false","true","0","0.0"
"19","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","71","|","false","true","0","0.0"
"20","locogp.SortRadix","BRANCH","3","11","0.0","2418","12","100","100","90","100","False","78","|","false","true","0","0.0"
"21","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","9","|","false","true","0","0.0"
"22","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","31","|","false","true","0","0.0"
"23","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","31","|","false","true","0","0.0"
"24","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","40","|","false","true","0","0.0"
"25","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","87","|","false","true","0","0.0"
"26","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","31","|","false","true","0","0.0"
"27","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","1","|","false","true","0","0.0"
"28","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","43","|","false","true","0","0.0"
"29","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","94","|","false","true","0","0.0"
"30","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","93","|","false","true","0","0.0"
"31","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","20","|","false","true","0","0.0"
"32","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","19","|","false","true","0","0.0"
"33","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","90","|","false","true","0","0.0"
"34","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","38","|","false","true","0","0.0"
"35","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","90","|","false","true","0","0.0"
"36","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","6","|","false","true","0","0.0"
"37","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","14","|","false","true","0","0.0"
"38","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","85","|","false","true","0","0.0"
"39","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","30","|","false","true","0","0.0"
"40","locogp.SortRadix","BRANCH","2","11","0.0","2418","12","93","100","90","93","True","47","|","false","true","0","0.0"
"41","locogp.SortRadix","BRANCH","1","11","0.0","2418","12","7","7","0","7","True","35","|","false","true","0","0.0"
"42","locogp.SortRadix","BRANCH","1","11","0.0","2418","12","7","7","0","7","True","71","|","false","true","0","0.0"
"43","locogp.SortRadix","BRANCH","1","11","0.0","2418","12","7","7","0","7","True","1","|","false","true","0","0.0"
"44","locogp.SortRadix","BRANCH","1","11","0.0","2418","12","7","7","0","7","True","6","|","false","true","0","0.0"
"45","locogp.SortRadix","BRANCH","1","11","0.0","2418","12","7","7","0","7","True","74","|","false","true","0","0.0"
"46","locogp.SortRadix","BRANCH","1","11","0.0","2418","12","7","7","0","7","True","31","|","false","true","0","0.0"
"47","locogp.SortRadix","BRANCH","1","11","0.0","2418","12","7","7","0","7","True","44","|","false","true","0","0.0"
"48","locogp.SortRadix","BRANCH","1","11","0.0","2418","12","7","7","0","7","True","40","|","false","true","0","0.0"
