"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup"
"1","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","28","|","false","true","0","0.0"
"2","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","7","|","false","true","0","0.0"
"3","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","74","|","false","true","0","0.0"
"4","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","20","|","false","true","0","0.0"
"5","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","17","|","false","true","0","0.0"
"6","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","25","|","false","true","0","0.0"
"7","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","86","|","false","true","0","0.0"
"8","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","34","|","false","true","0","0.0"
"9","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","28","|","false","true","0","0.0"
"10","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","20","|","false","true","0","0.0"
"11","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","20","|","false","true","0","0.0"
"12","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","19","|","false","true","0","0.0"
"13","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","98","|","false","true","0","0.0"
"14","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","94","|","false","true","0","0.0"
"15","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","9","|","false","true","0","0.0"
"16","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","76","|","false","true","0","0.0"
"17","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","23","|","false","true","0","0.0"
"18","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","68","|","false","true","0","0.0"
"19","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","22","|","false","true","0","0.0"
"20","locogp.SortCocktail","BRANCH","3","20","0.0","2869","97","100","100","100","100","False","82","|","false","true","0","0.0"
"21","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","22","|","false","true","0","0.0"
"22","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","6","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:48 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:47 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:98 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:47:47 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 |","true","false","2086616","-142.98361"
"23","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","85","|","false","true","0","0.0"
"24","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","60","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:156 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:62:87 |","true","false","1320685","3.632505"
"25","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","54","|","false","true","0","0.0"
"26","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","96","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:181 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:109 |","true","false","1797620","-166.86993"
"27","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","71","|","false","true","0","0.0"
"28","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","3","|","false","true","0","0.0"
"29","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","97","|","false","true","0","0.0"
"30","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","27","|","false","true","0","0.0"
"31","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","2","|","false","true","0","0.0"
"32","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","9","|","false","true","0","0.0"
"33","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","66","|","false","true","0","0.0"
"34","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","74","|","false","true","0","0.0"
"35","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","38","|","false","true","0","0.0"
"36","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","46","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:48 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:73 |","true","false","2227851","5.43206"
"37","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","18","|","false","true","0","0.0"
"38","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","0","|","false","true","0","0.0"
"39","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","58","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:31 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:63 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:87 |","true","false","774246","54.573154"
"40","locogp.SortCocktail","BRANCH","2","20","0.0","2869","97","92","95","100","92","True","64","|","false","true","0","0.0"
"41","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","30","|","false","true","0","0.0"
"42","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","52","|","false","true","0","0.0"
"43","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","57","|","false","true","0","0.0"
"44","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","58","|","false","true","0","0.0"
"45","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","71","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:109 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:188 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:109 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:25 |","true","true","726982","85.057526"
"46","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","96","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:47 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:108 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:114 | gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:108 -> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:62 | gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:131 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:63 |","true","false","798461","79.42099"
"47","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","10","|","false","true","0","0.0"
"48","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","94","|","false","true","0","0.0"
"49","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","24","|","false","true","0","0.0"
"50","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","67","|","false","true","0","0.0"
"51","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","9","|","false","true","0","0.0"
"52","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","69","|","false","true","0","0.0"
"53","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","20","|","false","true","0","0.0"
"54","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","67","|","false","true","0","0.0"
"55","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","47","|","false","true","0","0.0"
"56","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","42","|","false","true","0","0.0"
"57","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","9","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:24 |","true","false","1870513","-202.63931"
"58","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","83","|","false","true","0","0.0"
"59","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","43","|","false","true","0","0.0"
"60","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","45","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:47 <-> ../examples/locoGP/src/main/java/locogp/SortCocktail.java:98 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:48 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortCocktail.java:47 |","true","true","657563","71.14215"
"61","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","12","|","false","true","0","0.0"
"62","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","46","|","false","true","0","0.0"
"63","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","48","|","false","true","0","0.0"
"64","locogp.SortCocktail","BRANCH","1","20","0.0","2869","97","62","68","78","62","True","77","|","false","true","0","0.0"
