"Index","TARGET_CLASS","criterion","Size","Length","Fitness","Total_Time","evo_seed","BRANCH_Coverage","LINE_Coverage","WEAKMUTATION_Coverage","CBRANCH_Coverage","sampled","gin_seed","patch","validpatch","success","avgtime","speedup","intermediate"
"1","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","73","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:355 |","true","true","2656658","48.71899","false"
"2","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","23","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:281 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:120:121 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:354 | gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:210 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:18:24 |","true","false","5191085","-110.58296","false"
"3","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","84","|","false","true","0","0.0","false"
"4","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","66","|","false","true","0","0.0","false"
"5","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","34","| gin.edit.statement.SwapStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:113 <-> ../examples/locoGP/src/main/java/locogp/SortHeap.java:120 |","true","false","24133216","-321.34296","false"
"6","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","17","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:210 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:120:121 |","true","false","3399407","-23.253307","false"
"7","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","61","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:120 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:174 |","true","false","3340700","-122.86968","false"
"8","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","22","|","false","true","0","0.0","false"
"9","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","22","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:114 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:141 |","true","false","4446355","11.960676","false"
"10","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","40","|","false","true","0","0.0","false"
"11","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","60","| gin.edit.statement.ReplaceStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:324 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:173 |","true","true","1315048","-3.1757097","false"
"12","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","15","|","false","true","0","0.0","false"
"13","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","49","|","false","true","0","0.0","false"
"14","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","99","|","false","true","0","0.0","false"
"15","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","43","|","false","true","0","0.0","false"
"16","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","84","|","false","true","0","0.0","false"
"17","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","88","|","false","true","0","0.0","false"
"18","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","38","| gin.edit.statement.CopyStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:91 -> ../examples/locoGP/src/main/java/locogp/SortHeap.java:280:280 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:256 | gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:296 |","true","true","3444464","22.95984","false"
"19","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","69","|","false","true","0","0.0","false"
"20","locogp.SortHeap","BRANCH","4","26","0.0","12397","43","100","100","95","100","False","37","|","false","true","0","0.0","false"
"21","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","90","|","false","true","0","0.0","false"
"22","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","55","|","false","true","0","0.0","false"
"23","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","39","|","false","true","0","0.0","false"
"24","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","60","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:74 |","true","true","2678577","-90.075195","false"
"25","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","58","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:141 |","true","true","2913306","-138.78726","false"
"26","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","38","|","false","true","0","0.0","false"
"27","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","69","|","false","true","0","0.0","false"
"28","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","52","|","false","true","0","0.0","false"
"29","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","59","| gin.edit.statement.DeleteStatement ../examples/locoGP/src/main/java/locogp/SortHeap.java:356 |","true","false","3250330","7.695748","false"
"30","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","67","|","false","true","0","0.0","false"
"31","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","71","|","false","true","0","0.0","false"
"32","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","18","|","false","true","0","0.0","false"
"33","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","82","|","false","true","0","0.0","false"
"34","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","82","|","false","true","0","0.0","false"
"35","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","23","|","false","true","0","0.0","false"
"36","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","36","|","false","true","0","0.0","false"
"37","locogp.SortHeap","BRANCH","3","26","0.0","12397","43","90","97","94","90","True","58","|","false","true","0","0.0","false"
